"keyterm";"count"
"EFFECTS";622
"HEART-RATE";206
"RESPONSE";205
"PROCESSING";199
"EVIDENCE";195
"EFFECT";194
"TASK";175
"SLEEP";167
"STIMULI";164
"ANALYSIS";147
"EVENT-RELATED-POTENTIALS";146
"AUDITORY";145
"EEG";141
"ACTIVITY";140
"MEMORY";140
"STUDY";139
"VISUAL";139
"ATTENTION";133
"STRESS";127
"RESPONSES";124
"STIMULUS";124
"EMOTIONAL";118
"PERFORMANCE";113
"COGNITIVE";108
"FUNCTION";107
"CONTROL";102
"BEHAVIORAL";101
"INFLUENCE";99
"P300";98
"CHILDREN";97
"ADULTS";95
"CARDIAC";95
"RELATIONSHIP";95
"DETECTION";94
"COMPARISON";93
"FEEDBACK";93
"NEURAL";93
"BLOOD-PRESSURE";92
"CARDIOVASCULAR";92
"CONDITIONING";90
"PHYSIOLOGICAL";90
"ERP";87
"HUMAN";87
"LEARNING";85
"MEASURES";85
"PSYCHOPHYSIOLOGICAL";84
"AUTONOMIC";82
"VERSUS";80
"HABITUATION";79
"PERCEPTION";79
"ROLE";78
"PAIN";77
"TIME";77
"AFFECTIVE";75
"THREAT";75
"MODULATION";74
"AMPLITUDE";73
"SCHIZOPHRENIA";72
"ANXIETY";71
"COMPONENTS";71
"BRAIN";70
"ERP-STUDY";69
"TEMPORAL";69
"ATTENTIONAL";66
"PATIENTS";66
"SKIN-CONDUCTANCE";66
"ACTIVATION";65
"DIFFERENCES";65
"ELECTRODERMAL";64
"HUMANS";64
"MOTOR";64
"P3";64
"SOCIAL";64
"ERPS";63
"REACTIVITY";63
"BEHAVIOR";62
"CHANGE";62
"EMOTION";62
"CARDIOVASCULAR-REACTIVITY";61
"INFORMATION";61
"PROCESSES";61
"REACTION-TIME";61
"CORTICAL";60
"PATTERNS";59
"INDIVIDUAL-DIFFERENCES";58
"PSYCHOPHYSIOLOGY";58
"AROUSAL";57
"ELECTROPHYSIOLOGICAL";57
"SUBJECTS";57
"EXERCISE";55
"HEART-RATE-VARIABILITY";55
"MODULATES";55
"PERCEPTUAL";55
"AGE";54
"FEAR";54
"INHIBITION";54
"LATENCY";54
"MEASUREMENT";54
"TASKS";54
"CORRELATES";53
"PARADIGM";53
"EVENT-RELATED-POTENTIAL";52
"IMPACT";52
"SUBJECTIVE";52
"CONTEXT";51
"DISCRIMINATION";51
"ADOLESCENTS";50
"DATA";50
"DEPRESSION";49
"INDIVIDUALS";48
"STIMULATION";48
"WOMEN";48
"ELECTRODERMAL-ACTIVITY";47
"ORIENTING-RESPONSE";47
"DIFFERENTIAL";46
"EVENT-RELATED-BRAIN-POTENTIALS";46
"EVALUATION";45
"MECHANISMS";45
"MULTIPLE";45
"PSYCHOLOGICAL";45
"RECOVERY";45
"SUPPRESSION";45
"2";44
"FACIAL";44
"REACTIONS";44
"SENSITIVITY";44
