"keyterm";"count"
"EFFECTS";580
"PROCESSING";197
"RESPONSE";196
"EVIDENCE";190
"EFFECT";178
"TASK";165
"HEART-RATE";158
"STIMULI";153
"EVENT-RELATED-POTENTIALS";145
"SLEEP";140
"AUDITORY";138
"ANALYSIS";137
"STUDY";133
"VISUAL";132
"MEMORY";130
"ATTENTION";128
"STIMULUS";126
"RESPONSES";125
"STRESS";123
"EEG";122
"ACTIVITY";120
"EMOTIONAL";109
"PERFORMANCE";103
"P300";97
"BEHAVIORAL";96
"COGNITIVE";94
"FUNCTION";92
"CARDIOVASCULAR";90
"ERP";89
"BLOOD-PRESSURE";88
"CONTROL";87
"INFLUENCE";87
"ADULTS";86
"CHILDREN";86
"NEURAL";86
"COMPARISON";85
"RELATIONSHIP";85
"DETECTION";84
"HUMAN";81
"LEARNING";81
"PHYSIOLOGICAL";80
"CARDIAC";79
"FEEDBACK";79
"AUTONOMIC";78
"AFFECTIVE";76
"VERSUS";75
"MEASURES";74
"PAIN";74
"MODULATION";73
"ROLE";73
"PERCEPTION";72
"PSYCHOPHYSIOLOGICAL";72
"SCHIZOPHRENIA";72
"TIME";72
"THREAT";70
"ERP-STUDY";69
"TEMPORAL";67
"AMPLITUDE";66
"BRAIN";66
"CONDITIONING";65
"HABITUATION";65
"P3";65
"ANXIETY";63
"ATTENTIONAL";62
"EMOTION";62
"PATIENTS";62
"CARDIOVASCULAR-REACTIVITY";61
"CHANGE";61
"MOTOR";61
"SOCIAL";61
"COMPONENTS";60
"ERPS";60
"REACTIVITY";60
"EXERCISE";59
"HUMANS";59
"ACTIVATION";58
"DIFFERENCES";58
"BEHAVIOR";57
"FEAR";57
"CORTICAL";56
"ELECTROPHYSIOLOGICAL";56
"PROCESSES";56
"INFORMATION";55
"MODULATES";55
"INDIVIDUAL-DIFFERENCES";54
"SKIN-CONDUCTANCE";54
"PARADIGM";53
"ELECTRODERMAL";52
"EVENT-RELATED-POTENTIAL";52
"PSYCHOPHYSIOLOGY";52
"CONTEXT";51
"HEART-RATE-VARIABILITY";51
"IMPACT";51
"INHIBITION";51
"CORRELATES";50
"PERCEPTUAL";50
"SUBJECTS";50
"TASKS";50
"ADOLESCENTS";49
"AGE";49
"LATENCY";49
"PATTERNS";48
"DEPRESSION";47
"INDIVIDUALS";47
"SUBJECTIVE";47
"WOMEN";47
"AROUSAL";46
"DISCRIMINATION";46
"STIMULATION";46
"EVENT-RELATED-BRAIN-POTENTIALS";45
"DATA";44
"FACIAL";44
"MECHANISMS";43
"REACTIONS";43
"STARTLE";43
"SUPPRESSION";43
"MEASUREMENT";42
"NEGATIVE";42
"REWARD";42
"ORIENTING";41
"RECOVERY";41
"ELECTRODERMAL-ACTIVITY";40
"MULTIPLE";40
"REACTION-TIME";40
"TRAINING";40
"AFFECT";39
"ANTICIPATION";39
"APPROACH";39
"ASSOCIATION";39
"EVALUATION";39
"INFLUENCES";39
"LANGUAGE";39
"RESPIRATORY";39
"RESPIRATORY-SINUS-ARRHYTHMIA";39
"SEMANTIC";39
"SENSITIVITY";39
"SYSTEM";39
"DEVELOPMENT";38
"HEALTHY";37
"METHOD";37
"PSYCHOLOGICAL";37
"RELATED";37
"RISK";37
"TEST";37
"COGNITIVE-CONTROL";36
"DIFFERENTIAL";36
"ORIENTING-RESPONSE";36
"STABILITY";36
"2";35
"ALPHA";35
"MEASURE";35
"PREDICTS";35
"RECOGNITION";35
"RELATION";35
"SIGNAL";35
"STUDIES";35
"ELECTROPHYSIOLOGICAL-CORRELATES";34
"FREQUENCY";34
"INTENSITY";34
"LABORATORY";34
"LATE";34
"PREPULSE-INHIBITION";34
"RELATIONSHIPS";34
"RELIABILITY";34
"REVIEW";34
"SELECTIVE-ATTENTION";34
"ASSESSMENT";33
"CONDITIONS";33
"DYNAMICS";33
"ELECTROPHYSIOLOGICAL-EVIDENCE";33
"MODEL";33
"RECORDING";33
"WORDS";33
"COMPONENT";32
"CONFLICT";32
"FUNCTIONAL";32
"MISMATCH-NEGATIVITY";32
"MONITORING";32
"MOOD";32
"SPATIAL";32
"BRAIN-ACTIVITY";31
"HYPERTENSION";31
"IMAGERY";31
"PREDICT";31
"TESTING";31
"AGING";30
"ANTICIPATORY";30
"CARDIOVASCULAR-RESPONSES";30
"CEREBRAL";30
"CONDITIONED";30
"CORTISOL";30
"CUES";30
"INTEGRATION";30
"MENTAL";30
"PHYSICAL";30
"POSITIVE";30
"RATE";30
"RESEARCH";30
"RESPIRATION";30
"RESTING";30
"AVERSIVE";29
"BIOFEEDBACK";29
"EXPOSURE";29
"HEART";29
"INCREASED";29
"INDEX";29
"LOW";29
"REDUCED";29
"SPATIAL-ATTENTION";29
"ACTION";28
"ERP-COMPONENTS";28
"LEVELS";28
"N400";28
"REFLEX";28
"ACTIVE";27
"AFFECTS";27
"ASSOCIATIONS";27
"AWARENESS";27
"CHALLENGE";27
"CONTINUOUS";27
"ENCODING";27
"ENHANCED";27
"INTERACTIONS";27
"INVESTIGATION";27
"METHODS";27
"NORMAL";27
"READING";27
"SENSORY";27
"AMBULATORY";26
"BODY";26
"BRAIN-POTENTIALS";26
"EVENT-RELATED-POTENTIAL-STUDY";26
"EVOKED";26
"INTERVAL";26
"NOVELTY";26
"POWER";26
"RESPONDING";26
"REVEALED";26
"SYMPATHETIC";26
"THEORY";26
"THETA";26
"VARIABILITY";26
"AUTOMATIC";25
"DURATION";25
"EVOKED-POTENTIALS";25
"EXPECTANCY";25
"EXPERIENCE";25
"NEURAL-CORRELATES";25
"SELECTION";25
"BREATHING";24
"CARDIOVASCULAR-RESPONSE";24
"CHRONIC";24
"DECEPTION";24
"EFFORT";24
"EMG";24
"EXTINCTION";24
"IMPLICATIONS";24
"INFORMATION-PROCESSING";24
"PHASIC";24
"PREPARATION";24
"PSYCHOLOGICAL-STRESS";24
"SELECTIVE";24
"SPEECH";24
"VALENCE";24
"ASYMMETRY";23
"CHARACTERISTICS";23
"DEVELOPMENTAL";23
"ELICITED";23
"EVENT-RELATED";23
"GENDER";23
"INFANTS";23
"INTERACTION";23
"MODELING";23
"OSCILLATIONS";23
"SOUND";23
"SUSTAINED";23
"TASK-DIFFICULTY";23
"TONE";23
"TRAIT";23
"VERBAL";23
"WORD";23
"ACUTE";22
"AUDITORY-STIMULI";22
"CHOICE";22
"COMPLEX";22
"DISTINCT";22
"ERROR";22
"ERRORS";22
"INCREASES";22
"INDEXES";22
"INDICES";22
"INTERFERENCE";22
"LEVEL";22
"LOAD";22
"MOTIVATION";22
"NOISE";22
"PERIOD";22
"PERSONALITY";22
"POTENTIAL";22
"REGULATION";22
"REPETITION";22
"SIGNIFICANCE";22
"SINGLE";22
"SLOW";22
"SOMATOSENSORY";22
"BILATERAL";21
"CATEGORIZATION";21
"COGNITION";21
"CONTROLLED";21
"DECISION";21
"DISORDER";21
"EYE";21
"FACTORS";21
"FRONTAL";21
"MEASURING";21
"MENTAL-ARITHMETIC";21
"MOVEMENT";21
"RECORDINGS";21
"REM-SLEEP";21
"SEXUAL-AROUSAL";21
"SIGNALS";21
"STARTLE-REFLEX";21
"TARGET";21
"ANGER";20
"CONTEXTUAL";20
"ERP-EVIDENCE";20
"GENETIC";20
"HEMODYNAMIC";20
"MODIFICATION";20
"MODULATE";20
"MODULATED";20
"MUSIC";20
"N1";20
"NEGATIVITY";20
"PRIMING";20
"SAMPLE";20
"SIMPLE";20
"SLEEPINESS";20
"SPECIFICITY";20
"SPONTANEOUS";20
"TONIC";20
"VALIDATION";20
"VISUAL-STIMULI";20
"APPLICATION";19
"ARTIFACTS";19
"CHILDHOOD";19
"CONCEALED-INFORMATION-TEST";19
"DISTRACTION";19
"ERROR-RELATED-NEGATIVITY";19
"EXPERIMENTAL";19
"INDEPENDENT";19
"PERCEIVED";19
"PERIPHERAL";19
"PHASE";19
"POSTERIOR";19
"PSYCHOPATHY";19
"SKIN-CONDUCTANCE-RESPONSES";19
"SPECIFIC";19
"TRIALS";19
"TYPE";19
"VALIDITY";19
"ACQUISITION";18
"CAFFEINE";18
"COLOR";18
"CORRECTION";18
"DYNAMIC";18
"EVENTS";18
"FEATURES";18
"HEALTHY-ADULTS";18
"INSTRUCTIONS";18
"LONG-TERM";18
"MAGNITUDE";18
"MENTAL-STRESS";18
"META-ANALYSIS";18
"NEUROPHYSIOLOGICAL";18
"OUTCOME";18
"PARASYMPATHETIC";18
"PHYSICAL-ACTIVITY";18
"PICTURES";18
"PRIOR";18
"PROBABILITY";18
"PULSE";18
"REPRESENTATION";18
"SEX-DIFFERENCES";18
"SKIN-CONDUCTANCE-RESPONSE";18
"SOUNDS";18
"SYMPTOMS";18
"VARYING";18
"ABILITY";17
"ACOUSTIC";17
"ACUTE-STRESS";17
"ALLOCATION";17
"COMPARING";17
"DEFENSIVE";17
"DELAYED";17
"ELECTROCORTICAL";17
"ELECTROMYOGRAPHIC";17
"EYEBLINK";17
"HERITABILITY";17
"INDUCED";17
"INTERVALS";17
"LEFT";17
"MARKERS";17
"MASKED";17
"MODERATES";17
"N2PC";17
"NETWORK";17
"NEUTRAL";17
"POTENTIALS";17
"REDUCES";17
"REDUCTION";17
"REFLECTS";17
"RESPONSIVITY";17
"RETRIEVAL";17
"SHOCK";17
"SIZE";17
"TECHNIQUES";17
"VISUAL-SEARCH";17
"ACCURACY";16
"ACUTE-PSYCHOLOGICAL-STRESS";16
"ANALYSES";16
"AUTONOMIC-NERVOUS-SYSTEM";16
"BASED";16
"BLINK";16
"CLASSICAL-CONDITIONING";16
"CONNECTIVITY";16
"CONSEQUENCES";16
"CROSS-MODAL";16
"DEFICITS";16
"DELAY";16
"DISSOCIATION";16
"ELECTROENCEPHALOGRAM";16
"EMOTIONS";16
"ERP-CORRELATES";16
"EVOKED-POTENTIAL";16
"FACILITATION";16
"FATIGUE";16
"FEMALE";16
"HEALTH";16
"IMPAIRED";16
"IMPLICIT";16
"INCENTIVE";16
"INSIGHTS";16
"LISTENING";16
"METHODOLOGICAL";16
"METHYLPHENIDATE";16
"MYOCARDIAL";16
"N2";16
"OSCILLATORY";16
"OUTCOMES";16
"PARTICIPANTS";16
"PERFORMANCE-MONITORING";16
"PICTURE";16
"PRESENTATION";16
"RAPID";16
"REM";16
"REVEAL";16
"SPEED";16
"STATUS";16
"STIMULUS-INTENSITY";16
"SUBSEQUENT";16
"UNCERTAINTY";16
"VARIATIONS";16
"VOLUNTARY";16
"ADOLESCENCE";15
"ADOLESCENT";15
"ANTERIOR";15
"ANXIOUS";15
"AUDITORY-EVOKED-POTENTIALS";15
"BIAS";15
"COMPLEXITY";15
"CONCEALED-INFORMATION";15
"CONCURRENT";15
"CORTEX";15
"DIFFERENCE";15
"DIGITAL";15
"DIRECT";15
"EEG-ACTIVITY";15
"EEG-STUDY";15
"ELECTRODE";15
