"HEART-RATE";"SCR";"SLEEP";"CONDITIONING";"AUTONOMIC";"CARDIAC";"EEG";"REACTION-TIME";"HUMAN";"EYE-MOVEMENT";"FUNCTION";"LEVEL";"ORIENTING-RESPONSE";"SKIN-RESISTANCE";"ELECTRODERMAL";"FEEDBACK";"RECORDING";"HABITUATION";"STIMULUS";"DIFFERENTIAL";"PATTERN";"SKIN-POTENTIAL";"AUDITORY";"COGNITION";"CONTROL";"EVOKED";"PERFORMANCE";"SIGNAL";"AROUSAL";"CHILD";"SKIN-CONDUCTANCE";"VISUAL";"DETECTION";"INTERVAL";"METHOD";"PERIOD";"POTENTIAL";"RAT";"ALPHA";"BEHAVIOR";"COMPONENT";"CORTEX";"RATE";"SENSORY";"SPONTANEOUS";"TECHNIQUE";"LATENCY";"NORMAL";"RESPIRATORY";"AVERAGE"
"HEART-RATE";59;3;0;6;0;1;0;5;1;1;1;0;0;1;0;3;1;3;3;1;0;1;4;2;2;0;1;1;0;1;5;1;1;0;2;3;0;3;1;1;0;0;2;2;2;1;0;0;1;1
"SCR";3;39;0;5;0;0;0;1;0;0;3;0;0;0;0;2;1;3;4;3;1;0;0;0;2;0;0;1;2;0;0;0;2;1;0;1;0;1;0;0;2;0;0;0;2;0;4;1;0;0
"SLEEP";0;0;37;0;1;0;5;0;2;6;0;1;0;1;1;0;3;1;0;0;5;1;1;0;0;0;1;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;2;2;1;2;0;0
"CONDITIONING";6;5;0;37;2;2;0;1;2;0;0;0;2;0;0;1;0;0;1;3;0;0;1;1;1;1;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;1;0;0;0;0;0;1;1;1
"AUTONOMIC";0;0;1;2;24;0;1;1;0;1;2;0;0;0;1;0;0;0;0;1;3;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;1;1;0;0;0;0;0
"CARDIAC";1;0;0;2;0;23;0;1;0;0;3;1;1;0;1;0;0;0;0;1;0;0;1;2;0;0;0;1;1;3;0;1;1;0;2;1;0;1;0;0;1;0;2;1;0;1;0;0;0;0
"EEG";0;0;5;0;1;0;22;1;1;1;0;0;0;0;0;1;2;0;0;1;3;0;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"REACTION-TIME";5;1;0;1;1;1;1;20;1;0;1;0;0;2;0;1;0;1;1;0;0;0;0;0;0;0;4;1;0;0;0;0;0;2;0;1;2;0;0;0;0;2;0;0;0;0;1;1;0;0
"HUMAN";1;0;2;2;0;0;1;1;20;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"EYE-MOVEMENT";1;0;6;0;1;0;1;0;0;17;0;0;0;0;0;0;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;2;1;0;1;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0
"FUNCTION";1;3;0;0;2;3;0;1;0;0;18;2;1;0;0;0;0;0;2;0;0;0;1;1;0;0;4;0;1;0;1;1;1;3;1;2;0;0;1;0;0;0;1;0;0;0;2;0;0;0
"LEVEL";0;0;1;0;0;1;0;0;1;0;2;17;0;1;1;0;0;0;0;0;1;4;0;1;0;0;1;1;3;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"ORIENTING-RESPONSE";0;0;0;2;0;1;0;0;0;0;1;0;17;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0
"SKIN-RESISTANCE";1;0;1;0;0;0;0;2;0;0;0;1;0;17;0;0;2;0;0;0;2;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"ELECTRODERMAL";0;0;1;0;1;1;0;0;0;0;0;1;0;0;16;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;0;1;0;0
"FEEDBACK";3;2;0;1;0;0;1;1;0;0;0;0;0;0;0;16;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;2;1;0;0;1;4;1;1;0;0;0;0
"RECORDING";1;1;3;0;0;0;2;0;1;3;0;0;0;2;0;0;16;0;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0
"HABITUATION";3;3;1;0;0;0;0;1;0;0;0;0;5;0;0;0;0;15;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0
"STIMULUS";3;4;0;1;0;0;0;1;0;0;2;0;3;0;0;0;0;2;14;0;0;0;1;0;1;1;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"DIFFERENTIAL";1;3;0;3;1;1;1;0;0;1;0;0;0;0;1;0;1;0;0;14;0;0;1;1;1;0;1;2;0;2;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"PATTERN";0;1;5;0;3;0;3;0;0;2;0;1;0;2;0;0;1;0;0;0;14;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"SKIN-POTENTIAL";1;0;1;0;0;0;0;0;0;0;0;4;0;5;0;0;2;0;0;0;0;14;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AUDITORY";4;0;1;1;0;1;1;0;0;0;1;0;0;0;0;2;0;0;1;1;0;0;13;0;1;0;0;0;0;1;0;3;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;1
"COGNITION";2;0;0;1;0;2;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;13;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CONTROL";2;2;0;1;0;0;1;0;0;0;0;0;0;0;0;6;0;0;1;1;0;0;1;0;13;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;1;0;0;0;1;0
"EVOKED";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;12;0;3;0;1;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;6
"PERFORMANCE";1;0;1;0;1;0;1;4;0;0;4;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;13;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"SIGNAL";1;1;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;2;1;0;0;0;1;3;0;12;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"AROUSAL";0;2;0;0;0;1;1;0;0;0;1;3;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;12;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0
"CHILD";1;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;1;0;0;2;0;0;1;2;0;1;0;0;0;12;1;2;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0
"SKIN-CONDUCTANCE";5;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;1;12;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"VISUAL";1;0;2;0;1;1;0;0;0;2;1;0;0;0;0;0;0;0;1;1;0;0;3;0;0;3;0;0;0;2;0;12;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1
"DETECTION";1;2;1;0;0;1;0;0;0;1;1;0;0;0;0;2;0;0;2;1;0;0;0;0;0;0;0;1;1;0;0;0;11;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"INTERVAL";0;1;0;2;0;0;0;2;2;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"METHOD";2;0;1;2;0;2;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;11;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0
"PERIOD";3;1;0;0;0;1;1;1;1;1;2;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;11;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"POTENTIAL";0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2;0;11;0;0;1;0;2;0;0;0;0;0;0;0;0
"RAT";3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1;0;0;1;0;0;2;0;0;2;0
"ALPHA";1;0;0;0;0;0;1;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;0;0
"BEHAVIOR";1;0;0;2;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;10;2;0;0;0;0;0;0;0;0;0
"COMPONENT";0;2;0;2;2;1;0;0;0;0;0;0;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;0;0;0;0;0;0;1;0
