id	label	x	y	cluster	weight<Links>	weight<Total link strength>
1	heart rate	-0.2566	-0.1448	6	34	68
2	scr	-0.1601	0.0927	1	21	45
3	sleep	0.4837	-0.3512	2	20	40
4	conditioning	-0.4915	0.3128	4	22	41
5	autonomic	-0.2372	-0.19	4	16	22
6	cardiac	-0.3904	-0.1639	3	22	30
7	eeg	0.4784	-0.5762	2	17	24
8	reaction time	0.4557	0.4837	1	20	31
9	human	0.483	0.1857	1	14	17
10	eye movement	0.5216	-0.496	2	13	23
11	function	0.28	0.1494	1	21	35
12	level	1.0452	-0.0841	2	16	22
13	orienting response	-1.167	0.4384	4	7	16
14	skin resistance	1.4412	-0.1064	2	9	16
15	electrodermal	-0.0777	-0.1177	3	16	17
16	feedback	-0.5043	-0.8177	5	14	28
17	recording	0.7914	-0.2734	2	15	23
18	habituation	-0.6472	0.4801	4	13	22
19	stimulus	-0.6895	0.5356	4	14	25
20	differential	-0.1022	0.0738	3	18	24
21	pattern	0.7656	-0.3891	2	12	22
22	skin potential	1.5278	-0.1429	2	6	14
23	auditory	-0.5046	0.0228	5	19	25
24	cognition	0.3612	0.0847	3	11	15
25	control	-0.5189	-0.7285	5	13	22
26	evoked	-0.1422	1.0281	7	9	19
27	performance	0.6634	0.3112	1	14	20
28	signal	0.2941	0.4085	7	15	18
29	arousal	0.663	-0.104	1	14	17
30	child	-0.2225	0.2174	3	14	20
31	skin conductance	0.6224	0.213	3	9	14
32	visual	-0.3837	0.595	7	14	22
33	detection	0.0193	-0.426	5	14	17
34	interval	0.6314	0.563	1	9	14
35	method	-0.0587	-0.229	3	12	16
36	period	0.0605	-0.3014	6	14	17
37	potential	0.1038	0.3419	3	9	13
38	rat	-0.9807	-0.486	6	7	11
39	alpha	0.3006	-0.7126	5	11	14
40	behavior	-0.7443	-0.1361	4	10	13
41	component	-1.1005	0.1535	4	9	15
42	cortex	-0.29	0.925	7	9	14
43	rate	-0.8642	-0.3386	6	10	13
44	sensory	-0.5035	-0.9067	5	8	13
45	spontaneous	-0.5054	-0.1592	5	9	12
46	technique	-0.4824	-0.6068	6	7	9
47	latency	0.8116	0.1223	1	11	15
48	normal	0.5749	0.435	1	16	17
49	respiratory	-1.1283	-0.1884	6	10	12
50	average	-0.2263	1.0031	7	9	14
