"HEART-RATE";"SLEEP";"CONDITIONING";"EEG";"SCR";"AUTONOMIC";"FUNCTION";"CARDIAC";"FEEDBACK";"ELECTRODERMAL";"HABITUATION";"HUMAN";"STIMULUS";"ORIENTING-RESPONSE";"RECORDING";"CONTROL";"PERFORMANCE";"REACTION-TIME";"BLOOD-PRESSURE";"VISUAL";"AUDITORY";"CARDIOVASCULAR";"EVOKED";"LEVEL";"PATTERN";"BIOFEEDBACK";"COGNITION";"DETECTION";"SKIN-CONDUCTANCE";"EVOKED-POTENTIAL";"BEHAVIOR";"CHILD";"PERCEPTION";"RESPIRATORY";"STRESS";"COMPONENT";"RAT";"REM";"AROUSAL";"CORTEX";"EYE-MOVEMENT";"INTERVAL";"TECHNIQUE";"ALPHA";"DIFFERENTIAL";"METHOD";"PERIOD";"SIGNAL";"SKIN-RESISTANCE";"ANXIETY"
"HEART-RATE";141;0;13;1;3;2;4;4;9;2;3;5;6;0;2;8;1;12;5;1;5;3;0;2;0;6;4;3;9;1;1;1;3;5;2;0;7;0;1;0;1;0;1;2;2;2;4;3;2;3
"SLEEP";0;87;0;8;0;1;1;2;0;2;3;3;0;1;6;0;5;0;0;3;3;0;1;1;6;0;1;1;0;0;1;0;0;1;2;0;0;2;2;0;8;1;3;0;0;1;1;0;1;0
"CONDITIONING";13;0;70;1;9;4;3;4;1;4;0;2;2;4;0;1;0;1;2;0;1;2;1;0;1;0;2;0;1;2;2;1;2;1;0;2;4;0;0;1;0;3;0;1;5;2;0;0;0;0
"EEG";1;8;1;60;1;2;1;0;6;0;0;1;0;0;6;4;2;1;0;4;2;0;1;0;6;1;2;0;0;0;1;0;0;0;0;0;0;0;2;0;1;2;2;2;1;3;7;0;0;0
"SCR";3;0;9;1;58;0;3;0;3;0;7;0;7;2;1;2;1;1;0;1;1;0;1;0;1;0;0;3;0;0;0;0;1;0;0;3;1;0;2;0;0;2;0;0;3;0;1;1;0;1
"AUTONOMIC";2;1;4;2;0;57;4;0;0;1;0;1;1;1;0;3;3;1;0;2;0;0;0;0;3;2;0;0;0;0;4;1;1;1;2;3;0;1;1;0;1;0;1;0;4;0;0;1;0;1
"FUNCTION";4;1;3;1;3;4;57;6;1;2;2;3;4;1;0;0;7;2;2;3;1;2;2;5;0;1;2;2;3;3;1;0;2;3;4;1;1;0;3;3;0;4;0;2;0;1;3;0;0;0
"CARDIAC";4;2;4;0;0;0;6;55;0;2;0;1;0;1;0;0;3;4;0;1;2;0;0;1;1;1;2;1;0;0;0;4;3;1;1;2;2;0;1;1;0;2;1;0;1;2;4;2;0;2
"FEEDBACK";9;0;1;6;3;0;1;0;54;0;0;0;2;0;0;13;2;1;6;3;3;2;0;0;1;6;0;2;0;0;2;0;0;1;2;1;0;0;0;0;0;0;3;5;0;1;0;0;0;1
"ELECTRODERMAL";2;2;4;0;0;1;2;2;0;54;4;0;2;2;2;0;1;0;0;1;2;3;0;3;0;0;2;2;0;0;1;2;1;0;1;1;0;0;1;1;0;0;0;0;2;1;0;0;0;0
"HABITUATION";3;3;0;0;7;0;2;0;0;4;45;0;7;13;0;0;0;1;0;1;2;0;0;1;0;0;0;1;1;1;1;0;0;0;0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;2
"HUMAN";5;3;2;1;0;1;3;1;0;0;0;40;0;0;2;0;2;1;1;1;1;0;1;1;0;0;0;0;1;1;2;0;0;0;2;2;0;1;0;0;0;3;1;0;1;0;1;1;0;0
"STIMULUS";6;0;2;0;7;1;4;0;2;2;7;0;39;5;0;1;0;1;0;2;1;0;2;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;3;0;0;0;0;2;0;1;0;0;0
"ORIENTING-RESPONSE";0;1;4;0;2;1;1;1;0;2;13;0;5;39;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;6;0;0;0;1;0;1;0;0;1;0;0;1;0;0
"RECORDING";2;6;0;6;1;0;0;0;0;2;0;2;0;0;39;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;2;1;0;1;0;0;0;0;0;0;5;1;3;0;1;3;1;0;3;0
"CONTROL";8;0;1;4;2;3;0;0;13;0;0;0;1;0;0;37;0;0;3;0;1;3;1;0;1;2;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;4;1;1;0;1;0;2
