"HEART-RATE";"SLEEP";"EEG";"FEEDBACK";"FUNCTION";"ELECTRODERMAL";"AUTONOMIC";"CARDIAC";"CONDITIONING";"HABITUATION";"BLOOD-PRESSURE";"BIOFEEDBACK";"CARDIOVASCULAR";"STIMULUS";"CONTROL";"PERFORMANCE";"RECORDING";"EVOKED-POTENTIAL";"ORIENTING-RESPONSE";"VISUAL";"AUDITORY";"HUMAN";"ERP";"SCR";"STRESS";"EVOKED";"PERCEPTION";"DETECTION";"REACTION-TIME";"REM";"RESPIRATORY";"BEHAVIOR";"PATTERN";"SKIN-CONDUCTANCE";"ANXIETY";"CHANGE";"COGNITION";"COMPONENT";"DIFFERENCE";"EDA";"P300";"TRAINING";"AMPLITUDE";"CHILD";"CORTEX";"LATERAL";"RAT";"RECOVERY";"STIMULUS-INTENSITY";"TECHNIQUE"
"HEART-RATE";82;0;1;6;3;2;2;3;7;0;4;6;3;3;6;0;1;1;0;0;1;4;0;0;2;0;2;2;7;0;4;0;0;4;2;4;2;0;0;2;0;1;0;0;0;0;4;0;0;0
"SLEEP";0;50;3;0;1;1;0;2;0;2;0;0;0;0;0;4;3;0;1;1;2;1;0;0;2;1;0;0;0;1;1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;2;1;1
"EEG";1;3;38;5;1;0;1;0;1;0;0;1;0;0;3;1;4;0;0;4;1;0;1;1;0;1;0;0;0;0;0;1;3;0;0;0;1;0;2;0;0;1;0;0;0;2;0;0;0;2
"FEEDBACK";6;0;5;38;1;0;0;0;0;0;5;6;2;2;7;2;0;0;0;3;1;0;0;1;2;0;0;0;0;0;1;1;1;0;1;2;0;1;1;0;1;3;0;0;0;0;0;0;0;2
"FUNCTION";3;1;1;1;39;2;2;3;3;2;2;1;2;2;0;3;0;3;0;2;0;3;1;0;3;2;2;1;1;0;3;1;0;2;0;0;1;1;0;0;0;1;1;0;3;1;1;2;3;0
"ELECTRODERMAL";2;1;0;0;2;38;0;1;4;4;0;0;3;2;0;0;2;0;2;1;2;0;0;0;1;0;1;2;0;0;0;0;0;0;0;2;1;1;1;0;0;0;2;0;1;1;0;4;0;0
"AUTONOMIC";2;0;1;0;2;0;33;0;2;0;0;2;0;1;3;2;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;2;0;0;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0;1
"CARDIAC";3;2;0;0;3;1;0;32;2;0;0;1;0;0;0;3;0;0;0;0;1;1;0;0;0;0;1;0;3;0;1;0;1;0;1;0;0;1;0;0;0;1;0;1;1;1;1;0;0;0
"CONDITIONING";7;0;1;0;3;4;2;2;33;0;2;0;2;1;0;0;0;1;2;0;0;0;0;4;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;4;1;0;0
"HABITUATION";0;2;0;0;2;4;0;0;0;30;0;0;0;5;0;0;0;1;8;1;2;0;0;4;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;3;0;1;0;0;1;3;0
"BLOOD-PRESSURE";4;0;0;5;2;0;0;0;2;0;30;3;0;0;2;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;4;0;0;0;0;0;2;0;0;0;1;2;0;0;1
"BIOFEEDBACK";6;0;1;6;1;0;2;1;0;0;3;28;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2
"CARDIOVASCULAR";3;0;0;2;2;3;0;0;2;0;0;0;28;0;3;2;0;0;0;0;0;0;0;0;3;0;0;1;2;0;2;1;0;1;0;1;2;0;0;0;0;0;0;0;0;0;1;0;1;1
"STIMULUS";3;0;0;2;2;2;1;0;1;5;0;0;0;25;0;0;0;1;2;1;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2;0;1;0;0;0;0;0
"CONTROL";6;0;3;7;0;0;3;0;0;0;2;2;3;0;24;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1
"PERFORMANCE";0;4;1;2;3;0;2;3;0;0;1;0;2;0;0;24;1;0;0;0;0;2;0;1;2;0;1;0;2;1;1;1;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
"RECORDING";1;3;4;0;0;2;0;0;0;0;1;0;0;0;0;1;23;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;2
"EVOKED-POTENTIAL";1;0;0;0;3;0;0;0;1;1;0;0;0;1;0;0;0;22;1;3;2;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;3;0;0;0;1;0
"ORIENTING-RESPONSE";0;1;0;0;0;2;1;0;2;8;0;0;0;2;0;0;0;1;22;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;1;1;1;0;1;0;0;1;2;0
"VISUAL";0;1;4;3;2;1;1;0;0;1;0;1;0;1;0;0;0;3;0;21;2;1;1;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0
"AUDITORY";1;2;1;1;0;2;0;1;0;2;0;1;0;0;0;0;0;2;1;2;20;1;4;1;0;2;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0
"HUMAN";4;1;0;0;3;0;1;1;0;0;1;0;0;0;0;2;1;1;0;1;1;20;0;0;2;0;0;0;0;1;0;2;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"ERP";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;18;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
"SCR";0;0;1;1;0;0;0;0;4;4;0;0;0;3;0;1;0;0;2;1;1;0;0;19;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"STRESS";2;2;0;2;3;1;1;0;0;0;1;0;3;0;0;2;0;0;1;0;0;2;0;0;19;0;0;0;0;0;4;1;0;1;0;0;2;1;0;0;0;1;0;0;0;0;0;0;1;1
"EVOKED";0;1;1;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;1;0;18;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3;0;0;2;2;0
"PERCEPTION";2;0;0;0;2;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;3;17;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"DETECTION";2;0;0;0;1;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;2
"REACTION-TIME";7;0;0;0;1;0;0;3;0;0;1;1;2;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;16;0;0;0;0;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0
