1	3	5
1	4	6
1	5	3
1	6	1
1	7	2
1	8	3
1	9	7
1	11	1
1	12	4
1	13	4
1	14	3
1	15	6
1	16	3
1	17	6
1	19	1
1	20	1
1	21	4
1	23	1
1	25	1
1	26	2
1	27	2
1	28	2
1	30	7
1	32	4
1	34	2
1	35	3
1	36	1
1	37	4
1	41	1
1	42	1
1	43	2
1	45	1
1	48	4
2	3	2
2	5	1
2	6	3
2	8	2
2	10	2
2	11	1
2	18	4
2	19	3
2	21	1
2	22	1
2	23	2
2	24	1
2	25	1
2	28	2
2	31	1
2	32	1
2	33	1
2	34	1
2	35	1
2	36	1
2	39	1
2	43	1
2	45	2
2	49	2
2	50	1
3	5	2
3	8	1
3	9	3
3	10	5
3	11	4
3	14	5
3	16	3
3	19	3
3	22	1
3	23	2
3	25	1
3	26	2
3	27	2
3	28	1
3	29	1
3	33	1
3	34	1
3	35	1
3	37	2
3	38	1
3	39	1
3	44	2
3	45	1
3	46	1
3	47	1
3	49	5
3	50	1
4	5	1
4	6	5
4	12	5
4	14	2
4	15	6
4	16	1
4	17	7
4	18	2
4	22	3
4	23	1
4	25	1
4	26	1
4	28	1
4	32	1
4	33	1
4	35	2
4	37	2
4	38	1
4	39	1
4	40	1
4	42	3
5	6	1
5	7	2
5	8	3
5	9	3
5	10	2
5	12	2
5	13	2
5	14	2
5	15	1
5	16	2
5	18	3
5	20	3
5	21	3
5	24	2
5	26	1
5	27	2
5	28	3
5	30	1
5	32	3
5	33	1
5	34	1
5	38	1
5	41	1
5	42	1
5	43	1
5	44	1
5	45	2
5	46	1
5	47	1
5	48	1
5	49	2
5	50	3
6	7	1
6	9	1
6	13	1
6	15	1
6	17	2
6	18	1
6	19	4
6	22	4
6	23	1
6	24	1
6	25	3
6	29	2
6	33	1
6	34	1
6	36	3
6	39	1
6	41	1
6	42	1
6	45	1
6	47	2
7	9	2
7	11	1
7	14	1
7	15	2
7	17	3
7	18	2
7	21	1
7	22	1
7	28	1
7	29	1
7	32	1
7	33	2
7	36	1
7	37	1
7	38	1
7	39	1
7	42	1
7	44	1
7	45	1
8	9	2
8	11	3
8	15	1
8	18	3
8	21	1
8	23	1
8	25	2
8	27	1
8	29	1
8	30	3
8	32	1
8	35	1
8	38	1
8	42	1
8	43	1
8	46	1
8	47	1
8	48	1
9	11	5
9	12	2
9	13	4
9	14	1
9	16	1
9	20	1
9	25	1
9	27	1
9	29	1
9	34	1
9	35	1
9	36	1
9	39	1
9	41	1
9	48	3
9	49	1
10	11	10
10	13	3
10	14	5
10	20	1
10	22	1
10	23	1
10	26	1
10	33	1
10	36	1
10	44	3
10	45	2
10	49	1
10	50	3
11	13	2
11	14	2
11	20	1
11	22	1
11	26	1
11	28	1
11	36	1
11	37	2
11	38	3
11	39	1
11	40	1
11	42	1
11	44	1
11	49	2
11	50	3
12	15	3
12	17	2
12	18	1
12	19	1
12	21	1
12	25	1
12	28	1
12	30	1
12	37	4
12	42	2
12	43	1
12	47	1
12	48	2
13	14	3
13	16	1
13	22	1
13	23	1
13	24	1
13	27	1
13	28	1
13	30	2
13	36	1
13	38	1
13	39	1
13	41	1
13	43	1
13	49	1
14	20	1
14	24	1
14	40	4
14	42	1
14	43	1
14	44	3
14	49	1
15	17	2
15	22	1
15	23	1
15	25	1
15	30	1
15	32	1
15	34	1
15	41	1
15	45	1
15	47	1
16	17	3
16	18	1
16	25	1
16	26	1
16	28	1
16	30	2
16	32	2
16	33	1
16	34	2
16	37	1
16	48	1
16	50	1
17	24	1
17	25	1
17	28	1
17	29	1
17	34	1
17	35	2
17	42	1
17	43	1
17	46	1
17	50	1
18	19	1
18	21	2
18	27	1
18	28	1
18	30	2
18	31	1
18	32	1
18	33	1
18	39	1
18	42	1
18	49	1
19	21	1
19	32	1
19	33	2
19	34	1
19	37	1
19	39	1
19	40	1
19	41	1
20	21	1
20	23	1
20	29	3
20	30	1
20	33	1
20	36	1
20	43	1
20	44	1
20	50	1
21	22	1
21	23	1
21	28	2
21	31	1
21	33	2
21	36	1
21	37	1
21	38	2
22	23	2
22	27	1
22	31	1
22	32	1
22	33	1
22	36	1
22	37	1
22	39	1
23	24	2
23	30	1
23	36	1
23	37	1
23	49	1
23	50	1
24	27	3
24	29	1
24	40	1
24	41	1
24	43	1
24	46	3
24	49	2
24	50	2
25	29	1
25	30	1
25	32	1
25	34	1
25	38	1
25	42	1
25	43	1
25	47	1
25	48	1
26	38	1
26	39	1
26	40	1
26	44	1
27	33	1
27	39	1
28	32	4
28	33	1
28	34	3
28	38	1
28	42	1
28	50	1
29	30	2
29	33	2
29	36	4
29	43	1
30	35	1
30	36	2
30	37	1
30	43	1
31	34	1
31	43	1
32	36	1
32	38	1
32	48	1
33	38	1
33	45	1
34	39	2
34	47	1
35	40	1
35	41	1
35	43	1
37	38	2
37	42	1
37	44	1
38	42	1
38	44	1
38	45	1
39	40	1
39	47	1
39	49	1
40	41	2
40	43	1
41	43	1
41	45	1
41	46	5
42	44	2
42	50	1
43	48	1
44	50	1
45	50	1
46	49	1
46	50	1
48	49	1
