"ERP";"CARDIOVASCULAR";"SLEEP";"P300";"BEHAVIOR";"HEART-RATE";"BLOOD-PRESSURE";"STRESS";"HUMAN";"STIMULUS";"FUNCTION";"ATTENTION";"DETECTION";"CARDIAC";"COMPONENT";"EEG";"METHOD";"VISUAL";"COGNITION";"AUTONOMIC";"ELECTRODERMAL";"PERFORMANCE";"RECORDING";"AUDITORY";"FACIAL";"HYPERTENSION";"INDIVIDUAL-DIFFERENCES";"LATENCY";"PATTERN";"EMOTION";"EXERCISE";"HABITUATION";"NORMAL";"TYPE-A";"ANXIETY";"CONDITIONING";"EMG";"EVALUATION";"MENTAL-ARITHMETIC";"MONITORING";"PATIENTS";"PERCEPTION";"REACTION-TIME";"REM";"RESPIRATORY";"RSA";"SELECTIVE-ATTENTION";"TONE";"CHANGE";"LATERAL"
"ERP";83;0;0;2;3;0;0;0;1;3;1;8;3;0;9;2;1;7;2;1;0;3;0;6;0;0;1;2;0;0;0;1;1;0;0;0;1;2;0;1;0;1;2;0;0;0;5;2;2;1
"CARDIOVASCULAR";0;66;0;0;12;1;2;14;0;0;1;0;0;0;2;0;1;0;3;1;0;0;0;0;0;9;1;0;6;1;4;0;0;7;0;0;0;1;5;1;0;1;0;0;1;1;0;0;2;0
"SLEEP";0;0;33;0;1;0;0;0;1;0;2;0;1;0;0;4;0;0;0;0;0;3;3;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;1;3;0;0;1;1;0
"P300";2;0;0;30;1;0;0;0;0;3;0;1;1;0;1;0;0;0;0;0;0;1;1;1;0;0;1;5;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0
"BEHAVIOR";3;12;1;1;30;0;0;4;0;0;1;0;1;1;0;2;1;0;0;1;0;0;1;0;1;4;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;3;1;0
"HEART-RATE";0;1;0;0;0;29;3;2;2;1;2;0;1;1;0;1;0;2;1;1;0;0;0;0;0;2;1;0;0;0;3;0;0;3;3;1;0;0;3;0;0;0;2;1;0;1;0;1;1;1
"BLOOD-PRESSURE";0;2;0;0;0;3;24;3;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;2;0;0;0;0;0;0;1;0
"STRESS";0;14;0;0;4;2;3;23;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;5;0;0;2;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"HUMAN";1;0;1;0;0;2;0;0;22;2;2;0;1;0;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0
"STIMULUS";3;0;0;3;0;1;0;0;2;20;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0
"FUNCTION";1;1;2;0;1;2;1;1;2;0;20;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"ATTENTION";8;0;0;1;0;0;0;0;0;0;0;19;2;1;0;0;0;1;1;0;0;1;0;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DETECTION";3;0;1;1;1;1;1;0;1;0;0;2;18;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
"CARDIAC";0;0;0;0;1;1;0;0;0;0;1;1;0;18;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;1;1;2;2;0;0;0;1;0;1;0;0
"COMPONENT";9;2;0;1;0;0;0;0;1;0;0;0;0;0;18;1;0;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EEG";2;0;4;0;2;1;0;0;2;0;0;0;0;0;1;18;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;2
"METHOD";1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;2;17;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"VISUAL";7;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;18;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1
"COGNITION";2;3;0;0;0;1;0;2;1;0;0;1;0;0;2;0;0;0;17;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"AUTONOMIC";1;1;0;0;1;1;0;0;0;0;1;0;0;0;2;0;0;0;0;16;0;0;0;1;1;0;2;0;1;2;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;1;0
"ELECTRODERMAL";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;15;1;1;0;0;0;0;2;0;0;0;5;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0
"PERFORMANCE";3;0;3;1;0;0;0;0;0;2;1;1;0;0;0;0;0;1;0;0;1;15;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"RECORDING";0;0;3;1;1;0;1;0;0;0;0;0;2;0;0;1;1;0;0;0;1;0;14;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
"AUDITORY";6;0;0;1;0;0;0;0;0;0;1;4;0;0;0;0;0;1;0;1;0;0;0;13;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;1;0
"FACIAL";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;13;0;0;0;0;2;0;0;0;0;0;2;4;0;1;0;0;0;0;0;0;0;0;0;0;0
"HYPERTENSION";0;9;0;0;4;2;2;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"INDIVIDUAL-DIFFERENCES";1;1;1;1;1;1;0;0;0;0;0;0;0;2;0;0;1;0;0;2;0;0;0;0;0;0;13;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"LATENCY";2;0;0;5;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;2;2;0;0;0;0;0;13;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"PATTERN";0;6;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;13;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EMOTION";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;12;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"EXERCISE";0;4;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;1;0;0;0;2;0;0;0;1;0;2;0;0;0;0;0
"HABITUATION";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;5;1;0;1;0;0;0;2;0;0;0;12;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"NORMAL";1;0;2;0;1;0;0;1;2;0;1;1;0;2;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;12;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0
"TYPE-A";0;7;0;0;0;3;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;12;0;0;0;0;2;0;0;1;1;0;0;0;0;0;1;0
"ANXIETY";0;0;0;0;0;3;1;1;2;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"CONDITIONING";0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;1;0;0;2;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EMG";1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;11;1;0;0;0;0;0;0;0;0;0;0;0;1
"EVALUATION";2;1;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;11;1;0;0;0;1;0;0;0;0;0;0;0
"MENTAL-ARITHMETIC";0;5;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;2;0;0;0;1;11;0;0;0;1;0;1;0;0;0;1;0
"MONITORING";1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;11;1;0;0;1;1;0;0;0;0;0
