"ERP";"CARDIOVASCULAR";"P300";"HEART-RATE";"ATTENTION";"HUMAN";"SLEEP";"VISUAL";"BEHAVIOR";"EEG";"AUDITORY";"BLOOD-PRESSURE";"STIMULUS";"MEMORY";"STRESS";"EMOTION";"SCENE";"AUTONOMIC";"METHOD";"STARTLE";"CARDIAC";"DETECTION";"FUNCTION";"CHILD";"INDEX";"PATTERN";"PERCEPTION";"AFFECT";"COGNITION";"COMPONENT";"ELECTROPHYSIOLOGICAL";"PATIENTS";"RECORDING";"ELECTRODERMAL";"FACIAL";"HYPERTENSION";"NORMAL";"RESPIRATORY";"ADULT";"BRAIN";"DEVELOPMENT";"PERFORMANCE";"EVALUATION";"INDIVIDUAL-DIFFERENCES";"LATENCY";"AMPLITUDE";"CONDITIONING";"MMN";"REACTION-TIME";"ANTICIPATION"
"ERP";200;0;6;2;14;4;1;19;6;4;15;0;6;15;1;0;4;1;2;0;0;4;1;3;6;4;4;1;3;10;0;3;1;0;0;0;3;0;6;8;4;4;3;2;2;2;0;3;2;1
"CARDIOVASCULAR";0;112;0;2;1;0;0;0;13;0;0;3;1;0;19;1;0;1;2;2;0;0;2;1;0;8;2;1;4;2;0;1;0;2;1;13;0;1;0;0;0;0;4;2;0;0;0;0;0;0
"P300";6;0;71;0;3;0;0;2;1;1;4;0;5;1;0;0;4;0;1;2;0;1;1;1;3;0;0;2;0;1;0;3;1;0;0;0;0;0;4;1;2;1;2;2;11;11;0;0;3;0
"HEART-RATE";2;2;0;59;0;2;0;2;1;2;1;7;1;0;4;0;0;5;0;1;2;1;2;0;2;0;0;0;1;1;0;1;0;0;1;3;0;3;0;0;1;1;0;2;0;0;1;0;3;4
"ATTENTION";14;1;3;0;60;3;1;2;0;1;7;0;1;1;0;3;1;0;1;3;2;3;0;5;3;2;0;0;1;0;0;0;0;1;0;0;3;0;3;0;2;1;0;0;0;0;0;4;0;1
"HUMAN";4;0;0;2;3;58;2;1;0;3;1;0;2;1;0;1;0;1;1;2;1;1;2;0;0;2;1;0;3;2;1;0;3;0;0;0;3;1;2;0;0;0;0;0;0;1;6;1;1;2
"SLEEP";1;0;0;0;1;2;47;0;1;5;1;0;0;1;0;0;0;0;0;0;0;1;2;0;0;1;1;0;0;0;0;0;3;0;1;0;3;3;0;0;0;4;1;1;1;0;0;0;0;0
"VISUAL";19;0;2;2;2;1;0;51;0;0;3;0;0;4;0;1;0;0;0;0;0;1;0;1;2;2;2;0;0;1;3;2;0;1;0;0;1;0;1;2;1;1;0;0;0;1;0;0;0;1
"BEHAVIOR";6;13;1;1;0;0;1;0;45;2;1;1;0;2;6;1;0;3;1;1;1;1;1;1;2;1;1;1;0;0;2;0;1;0;1;5;2;1;0;1;1;0;0;1;0;0;0;0;0;0
"EEG";4;0;1;2;1;3;5;0;2;43;0;0;0;0;0;1;1;1;2;1;0;0;1;0;0;1;1;0;1;1;0;0;3;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0
