"ERP";"CARDIOVASCULAR";"ATTENTION";"P300";"HUMAN";"HEART-RATE";"MEMORY";"VISUAL";"SCENE";"AUDITORY";"STARTLE";"EMOTION";"EEG";"CHILD";"ELECTROPHYSIOLOGICAL";"STIMULUS";"AUTONOMIC";"BRAIN";"INDEX";"AFFECT";"BLOOD-PRESSURE";"METHOD";"MMN";"PERCEPTION";"STRESS";"DEVELOPMENT";"PATTERN";"SLEEP";"BEHAVIOR";"PATIENTS";"ADULT";"CONTROL";"AMPLITUDE";"ANTICIPATION";"CARDIAC";"CONTEXT";"DIFFERENCE";"INDIVIDUAL";"PROBE";"RESPIRATORY";"SIGNAL";"TEMPORAL";"WORD";"AGE";"COMPLEX";"DETECTION";"NORMAL";"PAIN";"SACCADE";"ACTIVATION"
"ERP";117;0;6;4;3;2;13;12;3;9;0;0;2;1;0;3;0;5;5;1;0;1;1;3;1;3;4;1;3;3;4;3;1;1;0;5;3;1;2;0;0;2;2;2;4;1;2;1;0;0
"CARDIOVASCULAR";0;46;1;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;1;0;1;5;0;2;0;1;1;0;1;0;0;0;0;0;1;0;0;0;2;0;1;1;0;0;1;0;0
"ATTENTION";6;1;41;2;3;0;1;1;1;3;3;2;1;3;0;1;0;0;3;0;0;1;3;0;0;2;2;1;0;0;2;3;0;1;1;0;1;0;2;0;0;0;0;0;1;1;2;2;0;0
"P300";4;0;2;41;0;0;0;2;4;3;1;0;1;1;0;2;0;1;1;2;0;1;0;0;0;0;0;0;0;2;4;0;8;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0
"HUMAN";3;0;3;0;36;0;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;2;1;0;0;0;0;1;1;1;2;0;0;0;1;2;2;0;0;0;0;1;1;0;1
"HEART-RATE";2;1;0;0;0;30;0;0;0;1;1;0;1;0;0;0;4;0;1;0;4;0;0;0;2;1;0;0;1;1;0;3;0;2;1;1;0;2;0;3;0;0;0;1;0;0;0;0;0;0
"MEMORY";13;0;1;0;1;0;31;4;2;3;0;0;0;1;3;0;0;0;2;0;0;0;1;0;0;0;2;1;1;1;1;0;0;0;0;1;0;1;0;0;1;3;1;0;0;1;1;0;1;0
"VISUAL";12;0;1;2;1;0;4;33;0;2;0;1;0;1;2;0;0;2;2;0;0;0;0;2;0;0;2;0;0;1;0;0;1;1;0;0;0;1;1;0;0;1;3;0;0;1;0;0;1;0
"SCENE";3;0;1;4;0;0;2;0;32;3;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;7;1;0;3;1;0;0;1;1;0;0;0;0;0;0;0;1;2;0;6;0
"AUDITORY";9;0;3;3;1;1;3;2;3;29;0;0;0;2;0;2;0;1;2;1;0;0;2;0;0;1;2;1;1;1;1;0;1;0;0;0;0;1;0;1;1;1;0;0;0;2;0;0;0;1
"STARTLE";0;2;3;1;1;1;0;0;0;0;28;3;1;0;0;0;3;0;0;4;0;0;0;1;1;1;0;0;1;0;0;0;0;2;0;0;0;1;5;0;0;1;0;0;1;0;0;0;0;0
"EMOTION";0;0;2;0;1;0;0;1;0;0;3;26;1;2;1;0;0;0;0;2;0;1;0;2;1;0;1;0;1;0;0;0;0;0;0;2;0;0;3;0;0;0;0;1;0;0;0;0;0;1
"EEG";2;0;1;1;1;1;0;0;1;0;1;1;25;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0
"CHILD";1;0;3;1;0;0;1;1;0;2;0;2;0;23;2;0;2;1;0;0;0;0;1;1;0;1;1;0;1;0;2;1;0;0;1;0;1;0;1;0;1;0;1;2;0;1;1;0;0;0
"ELECTROPHYSIOLOGICAL";0;0;0;0;1;0;3;2;1;0;0;1;0;2;24;1;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"STIMULUS";3;1;1;2;0;0;0;0;1;2;0;0;0;0;1;21;0;0;2;0;0;0;1;0;0;1;1;0;0;0;0;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"AUTONOMIC";0;0;0;0;1;4;0;0;0;0;3;0;1;2;0;0;20;0;1;1;0;0;0;0;1;0;1;0;2;0;0;1;0;0;1;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0
"BRAIN";5;0;0;1;0;0;0;2;0;1;0;0;0;1;0;0;0;20;0;2;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;3;0;1;1;0;2
"INDEX";5;0;3;1;0;1;2;2;0;2;0;0;0;0;1;2;1;0;20;1;0;1;0;0;0;1;1;0;1;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"AFFECT";1;0;0;2;0;0;0;0;1;1;4;2;0;0;0;0;1;2;1;18;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2
