"ERP";"ATTENTION";"EMOTION";"ELECTROPHYSIOLOGICAL";"AUDITORY";"PERCEPTION";"CARDIOVASCULAR";"P300";"NEURAL";"VISUAL";"MEMORY";"STRESS";"BEHAVIOR";"STARTLE";"MMN";"COGNITION";"SCENE";"ADULT";"EEG";"ERROR";"DETECTION";"HUMAN";"FUNCTION";"INCREASE";"AFFECT";"AMPLITUDE";"CUE";"CHILD";"PERFORMANCE";"BRAIN";"CARDIAC";"COMPONENT";"SOUND";"TIME";"ADOLESCENT";"CORTEX";"DEPRESSION";"MECHANISM";"ACTIVATION";"CONTEXT";"FEAR";"HEALTHY";"REDUCE";"SENSITIVITY";"AGE";"IMPACT";"INHIBITION";"PARADIGM";"PREPULSE-INHIBITION";"CONTROL"
"ERP";195;13;7;2;15;6;0;8;6;9;4;0;9;1;1;5;4;4;1;7;6;2;1;3;4;6;5;4;1;1;0;8;8;4;3;3;2;3;1;6;2;1;1;2;3;1;3;7;0;4
"ATTENTION";13;64;5;5;3;2;0;0;4;5;3;0;4;1;0;1;3;1;1;1;4;0;0;0;1;0;2;0;1;1;1;1;1;1;0;3;0;1;0;1;4;1;1;0;1;1;1;2;1;3
"EMOTION";7;5;61;3;0;4;1;1;0;0;1;1;1;4;0;3;1;3;2;0;0;1;2;1;6;0;3;0;0;3;1;0;0;2;0;1;1;0;1;0;1;0;0;0;1;4;1;2;0;0
"ELECTROPHYSIOLOGICAL";2;5;3;55;3;2;0;0;0;2;4;0;5;0;0;0;1;1;0;1;1;2;0;1;0;0;0;3;2;1;0;0;0;0;1;1;1;2;0;3;1;0;0;0;1;1;1;0;0;0
"AUDITORY";15;3;0;3;49;4;0;1;2;4;3;0;2;2;9;1;4;0;0;0;1;3;0;0;0;0;1;2;1;2;0;1;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0
"PERCEPTION";6;2;4;2;4;44;1;0;2;1;0;1;0;2;2;0;0;0;0;0;0;0;0;2;2;0;2;1;0;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;0;4;0;1;0;1
"CARDIOVASCULAR";0;0;1;0;0;1;43;0;0;0;0;3;0;0;0;2;0;2;0;0;0;0;0;1;1;0;0;1;3;0;0;0;0;1;4;0;0;0;1;0;0;0;0;0;0;2;0;1;0;2
"P300";8;0;1;0;1;0;0;42;0;2;2;0;1;1;0;0;1;4;0;0;4;1;1;1;0;15;2;0;0;0;0;3;0;0;6;0;1;1;0;0;0;0;5;0;1;0;1;0;0;0
"NEURAL";6;4;0;0;2;2;0;0;40;1;0;1;3;0;1;2;3;0;0;1;3;1;0;0;0;0;2;0;2;0;1;1;0;0;2;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1
"VISUAL";9;5;0;2;4;1;0;2;1;38;5;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;3;1;0;0;2;0;0;1;1;1;0;1;0;0;0;1;0;1;1
"MEMORY";4;3;1;4;3;0;0;2;0;5;34;0;3;0;4;2;1;2;0;0;3;2;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;2;1;0;1;0;0;0;0;0;0
"STRESS";0;0;1;0;0;1;3;0;1;0;0;35;0;0;1;1;0;2;0;1;0;0;2;1;0;0;0;0;2;0;2;0;0;0;3;0;3;0;1;1;0;3;0;1;3;2;0;0;0;0
"BEHAVIOR";9;4;1;5;2;0;0;1;3;1;3;0;34;0;0;0;0;0;2;1;1;0;1;0;0;1;0;0;2;0;0;0;0;0;2;1;0;0;0;1;0;1;0;1;0;2;0;1;0;0
"STARTLE";1;1;4;0;2;2;0;1;0;0;0;0;0;31;0;0;0;0;0;0;0;3;0;0;3;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;2;1;0;0;0;0;1;1;6;0
"MMN";1;0;0;0;9;2;0;0;1;0;4;1;0;0;22;0;0;0;0;0;0;1;0;0;0;1;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"COGNITION";5;1;3;0;1;0;2;0;2;1;2;1;0;0;0;29;0;2;0;0;0;1;2;0;1;0;1;0;1;1;1;0;0;1;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;2
"SCENE";4;3;1;1;4;0;0;1;3;0;1;0;0;0;0;0;29;0;2;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0
"ADULT";4;1;3;1;0;0;2;4;0;0;2;2;0;0;0;2;0;27;2;0;0;0;1;1;0;3;0;4;1;0;0;0;1;0;5;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
"EEG";1;1;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;28;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;1;0;0;0;2;0;0;0
"ERROR";7;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;26;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
"DETECTION";6;4;0;1;1;0;0;4;3;0;3;0;1;0;0;0;0;0;1;1;26;3;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"HUMAN";2;0;1;2;3;0;0;1;1;0;2;0;0;3;1;1;0;0;1;0;3;26;2;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;2;1;0;0;0;0;0;0;0;2;1;0
"FUNCTION";1;0;2;0;0;0;0;1;0;0;1;2;1;0;0;2;1;1;0;1;0;2;25;3;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;2;0;0;0;0
"INCREASE";3;0;1;1;0;2;1;1;0;1;0;1;0;0;0;0;0;1;0;1;1;0;3;24;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;2;0;1;2;0;0;0;0;0;0
"AFFECT";4;1;6;0;0;2;1;0;0;1;0;0;0;3;0;1;1;0;0;1;0;0;0;0;24;2;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;1;0;0
"AMPLITUDE";6;0;0;0;0;0;0;15;0;1;0;0;1;0;1;0;0;3;0;0;1;0;0;0;2;24;0;0;0;0;0;1;0;0;6;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0
"CUE";5;2;3;0;1;2;0;2;2;1;0;0;0;1;0;1;0;0;1;0;0;2;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;3;0;0
"CHILD";4;0;0;3;2;1;1;0;0;1;0;0;0;0;2;0;0;4;0;1;1;0;0;1;0;0;0;22;2;3;0;0;2;0;3;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0
"PERFORMANCE";1;1;0;2;1;0;3;0;2;0;1;2;2;0;0;1;1;1;0;1;0;0;0;1;0;0;0;2;23;1;0;0;0;0;0;1;1;2;1;0;0;0;2;0;0;0;0;0;0;0
