"ERP";"EMOTION";"NEURAL";"ATTENTION";"ELECTROPHYSIOLOGICAL";"BEHAVIOR";"EEG";"PERCEPTION";"VISUAL";"MEMORY";"AUDITORY";"ADULT";"CARDIOVASCULAR";"STRESS";"COGNITION";"P300";"BRAIN";"AFFECT";"THREAT";"ADOLESCENT";"LEARNING";"CONTEXT";"DEPRESSION";"STARTLE";"INCREASE";"HUMAN";"REDUCE";"CHILD";"DETECTION";"IMPACT";"SOCIAL";"COMPONENT";"ERROR";"PERFORMANCE";"CARDIAC";"FEAR";"ANXIETY";"SCENE";"CORTEX";"CUE";"INHIBITION";"TIME";"FUNCTION";"DYNAMIC";"MECHANISM";"MODEL";"PAIN";"REWARD";"CONTROL";"MOTOR"
"ERP";382;20;11;26;2;19;3;12;16;10;22;5;0;2;10;11;2;9;6;6;9;12;3;3;6;6;4;7;11;4;6;14;10;4;0;4;3;6;4;9;5;8;5;4;4;8;1;5;6;4
"EMOTION";20;183;8;12;6;6;5;11;6;7;1;8;2;2;5;1;6;8;1;6;0;5;4;6;5;1;2;2;0;6;4;0;0;1;4;3;5;7;2;4;3;3;4;4;0;0;2;2;1;1
"NEURAL";11;8;161;7;1;14;3;9;7;7;3;7;0;5;8;1;3;3;8;8;3;7;6;1;4;4;2;2;4;2;7;1;2;2;2;3;1;5;1;4;1;3;1;1;6;5;2;13;4;2
"ATTENTION";26;12;7;138;12;9;4;5;12;7;6;3;0;0;1;0;2;4;8;0;3;4;0;3;0;1;3;1;5;2;2;3;2;4;2;5;1;5;5;5;3;1;0;3;2;1;1;1;7;2
"ELECTROPHYSIOLOGICAL";2;6;1;12;124;12;2;3;5;9;3;3;0;0;0;0;1;0;1;1;2;4;2;0;1;5;0;4;2;2;3;2;3;3;0;1;0;2;3;1;3;1;0;2;4;3;2;4;2;2
"BEHAVIOR";19;6;14;9;12;115;7;3;6;5;3;4;2;2;1;1;2;2;0;7;0;3;3;0;2;1;1;3;2;4;5;1;2;4;1;1;1;0;1;0;1;2;1;3;2;2;1;3;2;2
"EEG";3;5;3;4;2;7;109;3;5;4;2;5;0;0;3;1;1;3;1;0;3;1;3;0;0;3;3;1;2;4;0;7;0;1;1;0;0;2;3;2;4;2;1;2;0;1;3;0;2;3
"PERCEPTION";12;11;9;5;3;3;3;104;3;1;5;2;2;3;1;1;4;6;1;2;2;0;0;4;3;1;1;1;0;5;4;2;0;2;2;3;2;3;0;3;0;3;0;0;2;1;3;0;3;1
"VISUAL";16;6;7;12;5;6;5;3;98;13;9;1;0;1;1;3;4;3;0;0;3;3;0;0;3;0;3;1;2;3;1;3;0;1;0;3;1;0;6;2;1;1;0;3;1;1;0;1;2;4
"MEMORY";10;7;7;7;9;5;4;1;13;97;3;4;1;0;3;3;4;1;1;1;2;5;2;1;2;3;2;1;4;2;1;0;2;2;1;2;2;2;1;0;2;0;4;0;2;0;0;2;1;1
"AUDITORY";22;1;3;6;3;3;2;5;9;3;90;1;0;0;2;2;3;1;0;0;0;1;0;3;0;6;1;2;1;0;0;3;0;2;0;0;0;6;0;1;1;1;0;0;1;1;0;0;1;1
