"ERP";"EMOTION";"NEURAL";"BEHAVIOR";"EEG";"ATTENTION";"ELECTROPHYSIOLOGICAL";"ADULT";"MEMORY";"PERCEPTION";"VISUAL";"BRAIN";"COGNITION";"LEARNING";"AFFECT";"THREAT";"STRESS";"ADOLESCENT";"CONTEXT";"CARDIOVASCULAR";"DEPRESSION";"SOCIAL";"AUDITORY";"REDUCE";"INCREASE";"P300";"PAIN";"REWARD";"CHILD";"DYNAMIC";"IMPACT";"HUMAN";"ANXIETY";"FEEDBACK";"FEAR";"MODEL";"OSCILLATIONS";"STARTLE";"ANTICIPATION";"COMPONENT";"CARDIAC";"HEART-RATE-VARIABILITY";"INHIBITION";"PERFORMANCE";"CORTEX";"DETECTION";"INTERACTION";"INDEX";"CONTROL";"INDIVIDUAL"
"ERP";187;13;5;10;2;13;0;1;6;6;7;1;5;7;5;5;2;3;6;0;1;4;7;3;3;3;0;3;3;3;3;4;1;5;2;6;2;2;5;6;0;0;2;3;1;5;3;4;2;3
"EMOTION";13;122;8;5;3;7;3;5;6;7;6;3;2;0;2;0;1;6;5;1;3;2;1;2;4;0;1;2;2;4;2;0;2;1;2;0;1;2;1;0;3;2;2;1;1;0;3;6;1;4
"NEURAL";5;8;121;11;3;3;1;7;7;7;6;3;6;3;3;4;4;6;6;0;5;7;1;2;4;1;2;11;2;1;2;3;1;5;3;3;4;1;5;0;1;0;0;0;1;1;2;1;3;1
"BEHAVIOR";10;5;11;81;5;5;7;4;2;3;5;2;1;0;2;0;2;5;2;2;3;4;1;1;2;0;0;2;3;2;2;1;1;4;1;1;0;0;1;1;1;1;1;2;0;1;3;2;2;0
"EEG";2;3;3;5;81;3;2;3;4;3;5;1;3;3;3;1;0;0;1;0;2;0;2;2;0;1;2;0;1;1;4;2;0;1;0;1;7;0;1;6;1;0;2;1;3;1;1;2;2;2
"ATTENTION";13;7;3;5;3;74;7;2;4;3;7;1;0;1;3;4;0;0;3;0;0;2;3;2;0;0;0;1;1;2;1;1;0;0;1;0;0;2;2;2;1;0;2;3;2;1;1;1;4;1
"ELECTROPHYSIOLOGICAL";0;3;1;7;2;7;69;2;5;1;3;0;0;1;0;0;0;0;1;0;1;3;0;0;0;0;1;4;1;2;1;3;0;4;0;2;0;0;1;2;0;0;2;1;2;1;1;3;2;0
"ADULT";1;5;7;4;3;2;2;62;2;2;1;2;3;1;0;0;3;7;1;3;6;2;1;2;2;2;1;1;6;1;1;1;0;0;0;0;3;1;0;0;1;3;1;0;1;0;1;2;1;0
"MEMORY";6;6;7;2;4;4;5;2;63;1;8;4;1;2;1;1;0;1;4;1;2;1;0;2;2;1;0;2;1;0;2;1;2;0;0;0;2;1;0;0;0;0;2;1;0;1;2;1;1;0
"PERCEPTION";6;7;7;3;3;3;1;2;1;60;2;3;1;1;4;0;2;1;0;1;0;4;1;1;1;1;2;0;0;0;1;1;2;2;3;1;3;2;2;1;1;1;0;2;0;0;1;1;2;2
"VISUAL";7;6;6;5;5;7;3;1;8;2;60;4;0;3;2;0;1;0;2;0;0;1;5;2;2;1;0;1;0;2;3;0;1;1;2;1;1;0;3;0;0;0;0;1;4;2;1;0;1;0
"BRAIN";1;3;3;2;1;1;0;2;4;3;4;58;1;1;0;1;0;2;1;1;1;0;1;2;0;2;1;1;2;3;1;1;2;2;2;0;7;1;3;0;0;0;0;0;1;2;1;0;2;1
"COGNITION";5;2;6;1;3;0;0;3;1;1;0;1;51;1;1;1;2;0;1;2;1;2;1;1;1;1;0;2;0;0;2;1;1;1;0;0;1;0;1;0;2;2;1;0;1;0;1;0;2;0
"LEARNING";7;0;3;0;3;1;1;1;2;1;3;1;1;52;1;1;3;0;0;0;1;0;0;1;0;0;2;4;0;0;3;2;0;6;3;0;2;0;0;0;1;1;0;3;2;0;0;2;0;0
"AFFECT";5;2;3;2;3;3;0;0;1;4;2;0;1;1;50;1;0;1;3;4;1;4;1;2;0;1;3;1;0;2;1;1;0;1;1;2;2;2;0;0;2;2;1;1;2;1;3;0;1;0
"THREAT";5;0;4;0;1;4;0;0;1;0;0;1;1;1;1;46;1;4;2;4;0;3;0;0;2;0;0;2;0;2;1;2;2;1;2;1;0;5;3;0;1;1;0;0;0;0;3;2;1;1
"STRESS";2;1;4;2;0;0;0;3;0;2;1;0;2;3;0;1;48;3;0;4;1;2;0;1;0;0;0;0;0;1;1;0;1;1;2;1;0;0;1;0;3;1;0;1;0;0;0;1;1;0
"ADOLESCENT";3;6;6;5;0;0;0;7;1;1;0;2;0;0;1;4;3;46;0;0;3;3;0;1;2;2;0;1;5;1;1;0;1;1;0;0;0;2;2;0;2;1;0;0;1;0;1;0;1;0
"CONTEXT";6;5;6;2;1;3;1;1;4;0;2;1;1;0;3;2;0;0;46;2;1;3;1;1;1;1;1;1;0;0;2;2;1;4;0;0;1;0;2;0;1;0;0;0;0;0;2;2;1;0
"CARDIOVASCULAR";0;1;0;2;0;0;0;3;1;1;0;1;2;0;4;4;4;0;2;44;2;1;0;1;1;0;1;0;0;0;2;0;2;0;0;1;0;0;0;0;0;0;0;2;1;0;1;1;1;1
"DEPRESSION";1;3;5;3;2;0;1;6;2;0;0;1;1;1;1;0;1;3;1;2;45;0;0;4;2;3;2;5;2;3;2;0;6;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0
"SOCIAL";4;2;7;4;0;2;3;2;1;4;1;0;2;0;4;3;2;3;3;1;0;43;0;0;1;0;2;0;0;0;0;1;0;5;0;1;0;0;0;0;1;1;0;0;0;0;6;1;0;3
"AUDITORY";7;1;1;1;2;3;0;1;0;1;5;1;1;0;1;0;0;0;1;0;0;0;41;1;0;1;0;0;0;0;0;3;0;0;0;0;1;1;2;2;0;0;1;1;0;0;0;0;1;1
"REDUCE";3;2;2;1;2;2;0;2;2;1;2;2;1;1;2;0;1;1;1;1;4;0;1;40;4;4;2;2;0;0;2;0;4;1;3;0;0;0;1;0;0;1;0;2;0;0;0;0;1;1
"INCREASE";3;4;4;2;0;0;0;2;2;1;2;0;1;0;0;2;0;2;1;1;2;1;0;4;40;1;0;2;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1
"P300";3;0;1;0;1;0;0;2;1;1;1;2;1;0;1;0;0;2;1;0;3;0;1;4;1;39;0;0;0;0;1;1;0;0;0;0;0;1;0;3;0;0;0;0;0;4;0;3;0;1
"PAIN";0;1;2;0;2;0;1;1;0;2;0;1;0;2;3;0;0;0;1;1;2;2;0;2;0;0;32;0;0;0;2;0;0;1;0;0;0;0;2;0;2;1;1;1;0;0;0;0;0;0
"REWARD";3;2;11;2;0;1;4;1;2;0;1;1;2;4;1;2;0;1;1;0;5;0;0;2;2;0;0;37;1;1;0;0;0;3;0;0;0;1;3;0;0;0;1;2;0;0;0;1;1;1
"CHILD";3;2;2;3;1;1;1;6;1;0;0;2;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;1;36;0;1;0;2;0;0;1;0;1;0;1;2;0;1;3;1;0;0;0;0;0
"DYNAMIC";3;4;1;2;1;2;2;1;0;0;2;3;0;0;2;2;1;1;0;0;3;0;0;0;1;0;0;1;0;36;2;1;0;0;1;2;0;0;1;0;0;0;0;1;1;0;1;0;0;0
"IMPACT";3;2;2;2;4;1;1;1;2;1;3;1;2;3;1;1;1;1;2;2;2;0;0;2;0;1;2;0;1;2;37;1;2;0;1;2;1;0;1;1;1;1;0;0;0;0;1;0;2;0
"HUMAN";4;0;3;1;2;1;3;1;1;1;0;1;1;2;1;2;0;0;2;0;0;1;3;0;0;1;0;0;0;1;1;35;0;0;3;3;1;1;0;1;0;0;0;0;1;0;1;0;0;0
"ANXIETY";1;2;1;1;0;0;0;0;2;2;1;2;1;0;0;2;1;1;1;2;6;0;0;4;1;0;0;0;2;0;2;0;32;1;3;1;1;1;2;0;0;0;0;0;0;0;1;0;2;2
"FEEDBACK";5;1;5;4;1;0;4;0;0;2;1;2;1;6;1;1;1;1;4;0;0;5;0;1;0;0;1;3;0;0;0;0;1;34;0;0;0;0;2;1;0;0;0;2;1;0;2;3;0;0
"FEAR";2;2;3;1;0;1;0;0;0;3;2;2;0;3;1;2;2;0;0;0;0;0;0;3;1;0;0;0;0;1;1;3;3;0;32;0;1;2;0;0;0;1;0;0;0;0;1;1;0;0
"MODEL";6;0;3;1;1;0;2;0;0;1;1;0;0;0;2;1;1;0;0;1;1;1;0;0;0;0;0;0;1;2;2;3;1;0;0;33;0;1;0;1;1;0;0;1;0;1;0;1;3;1
"OSCILLATIONS";2;1;4;0;7;0;0;3;2;3;1;7;1;2;2;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;33;0;1;0;0;0;0;1;4;0;1;1;0;0
"STARTLE";2;2;1;0;0;2;0;1;1;2;0;1;0;0;2;5;0;2;0;0;0;0;1;0;0;1;0;1;1;0;0;1;1;0;2;1;0;31;3;1;0;1;1;0;0;0;1;0;0;0
"ANTICIPATION";5;1;5;1;1;2;1;0;0;2;3;3;1;0;0;3;1;2;2;0;0;0;2;1;0;0;2;3;0;1;1;0;2;2;0;0;1;3;31;1;0;0;0;0;2;0;0;0;0;0
"COMPONENT";6;0;0;1;6;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;1;0;1;1;0;1;0;1;0;1;1;32;0;0;2;0;0;0;0;1;0;0
"CARDIAC";0;3;1;1;1;1;0;1;0;1;0;0;2;1;2;1;3;2;1;0;0;1;0;0;0;0;2;0;2;0;1;0;0;0;0;1;0;0;0;0;31;0;1;1;1;0;1;1;0;0
"HEART-RATE-VARIABILITY";0;2;0;1;0;0;0;3;0;1;0;0;2;1;2;1;1;1;0;0;1;1;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;31;0;0;1;0;0;0;0;1
"INHIBITION";2;2;0;1;2;2;2;1;2;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;2;1;0;31;1;0;0;0;0;0;0
"PERFORMANCE";3;1;0;2;1;3;1;0;1;2;1;0;0;3;1;0;1;0;0;2;0;0;1;2;1;0;1;2;3;1;0;0;0;2;0;1;1;0;0;0;1;0;1;31;0;1;1;1;1;1
"CORTEX";1;1;1;0;3;2;2;1;0;0;4;1;1;2;2;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;4;0;2;0;1;1;0;0;30;0;1;0;1;0
"DETECTION";5;0;1;1;1;1;1;0;1;0;2;2;0;0;1;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;29;0;0;0;2
"INTERACTION";3;3;2;3;1;1;1;1;2;1;1;1;1;0;3;3;0;1;2;1;0;6;0;0;0;0;0;0;0;1;1;1;1;2;1;0;1;1;0;0;1;0;0;1;1;0;29;1;0;0
"INDEX";4;6;1;2;2;1;3;2;1;1;0;0;0;2;0;2;1;0;2;1;0;1;0;0;0;3;0;1;0;0;0;0;0;3;1;1;1;0;0;1;1;0;0;1;0;0;1;29;0;0
"CONTROL";2;1;3;2;2;4;2;1;1;2;1;2;2;0;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;2;0;2;0;0;3;0;0;0;0;0;0;0;1;1;0;0;0;28;0
"INDIVIDUAL";3;4;1;0;2;1;0;0;0;2;0;1;0;0;0;1;0;0;0;1;0;3;1;1;1;1;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;1;0;2;0;0;0;28
